"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"登录测试方法","677","测试登录功能 - 186965785/ 期望结果: 用户名或密码错误","testcases","Fri Jun 27 20:34:52 GMT+08:00 2025","passed","Fri Jun 27 20:34:53 GMT+08:00 2025","TestLogin","test_login","",""
"登录测试方法","683","测试登录功能 - 186965785/Qyh666666 期望结果: 用户名或密码错误","testcases","Fri Jun 27 20:34:51 GMT+08:00 2025","passed","Fri Jun 27 20:34:52 GMT+08:00 2025","TestLogin","test_login","",""
"火车票搜索测试方法","6360","test_train[\u91cd\u5e86-2025-07-20-\u6606\u660e-\u5f20\u4e09-18678909999]","testcases","Fri Jun 27 20:34:14 GMT+08:00 2025","passed","Fri Jun 27 20:34:20 GMT+08:00 2025","TestTrain","test_booktickets","",""
"登录测试方法","1276","测试登录功能 - 18696578570/123456 期望结果: 为了您的账号安全，请使用手机验证码登录","testcases","Fri Jun 27 20:34:50 GMT+08:00 2025","passed","Fri Jun 27 20:34:51 GMT+08:00 2025","TestLogin","test_login","",""
"火车票搜索测试方法","5098","test_train[\u91cd\u5e86-2025-07-20-\u54c8\u5c14\u6ee8-\u5f20\u4e09-18678909999]","testcases","Fri Jun 27 20:34:30 GMT+08:00 2025","passed","Fri Jun 27 20:34:35 GMT+08:00 2025","TestTrain","test_booktickets","",""
"火车票搜索测试方法","6210","test_train[\u91cd\u5e86-2025-07-24-\u5317\u4eac-\u5f20\u4e09-18678909999]","testcases","Fri Jun 27 20:34:08 GMT+08:00 2025","passed","Fri Jun 27 20:34:14 GMT+08:00 2025","TestTrain","test_booktickets","",""
"登录测试方法","681","测试登录功能 - 18696578570/Qyh666666 期望结果: 为了您的账号安全，请使用手机验证码登录","testcases","Fri Jun 27 20:34:53 GMT+08:00 2025","passed","Fri Jun 27 20:34:54 GMT+08:00 2025","TestLogin","test_login","",""
"火车票搜索测试方法","7394","test_train[\u91cd\u5e86-2025-07-20-\u6b66\u6c49-\u5f20\u4e09-18678909999]","testcases","Fri Jun 27 20:34:20 GMT+08:00 2025","passed","Fri Jun 27 20:34:28 GMT+08:00 2025","TestTrain","test_booktickets","",""
"火车票搜索测试方法","5630","test_train[\u91cd\u5e86-2025-07-20-\u6d59\u6c5f-\u5f20\u4e09-18678909999]","testcases","Fri Jun 27 20:34:35 GMT+08:00 2025","passed","Fri Jun 27 20:34:40 GMT+08:00 2025","TestTrain","test_booktickets","",""
"登录测试方法","699","测试登录功能 - /123456 期望结果: 用户名或密码错误","testcases","Fri Jun 27 20:34:53 GMT+08:00 2025","passed","Fri Jun 27 20:34:53 GMT+08:00 2025","TestLogin","test_login","",""
